Account_ID,Account_Name,Category,Month,Debit,Credit
50004,Depreciation Expense,Expense,2024-05,6992,0
50005,Marketing Expense,Expense,2024-05,1778,0
50006,Travel Expense,Expense,2024-05,3342,0
50007,Insurance Expense,Expense,2024-05,4736,0
50008,IT Expense,Expense,2024-05,1159,0
50009,Bank Charges,Expense,2024-05,6768,0
50010,Telephone Expense,Expense,2024-05,3257,0
50011,Repairs & Maintenance,Expense,2024-05,6015,0
50012,Payroll Tax Expense,Expense,2024-05,9889,0
50013,Training Expense,Expense,2024-05,2793,0
10000,Cash,Asset,2024-06,3727,0
10001,Accounts Receivable,Asset,2024-06,9655,0
10002,Inventory,Asset,2024-06,5550,0
10003,Prepaid Expenses,Asset,2024-06,1763,0
10004,Fixed Assets,Asset,2024-06,9821,0
20000,Accounts Payable,Liability,2024-06,0,5692
20001,Accrued Expenses,Liability,2024-06,0,7492
20002,Short-Term Debt,Liability,2024-06,0,1406
20003,Long-Term Debt,Liability,2024-06,0,6876
30000,Common Stock,Equity,2024-06,0,5964
30001,Retained Earnings,Equity,2024-06,0,30028
40000,Sales Revenue,Revenue,2024-06,0,7626
40001,Service Revenue,Revenue,2024-06,0,9001
40002,Interest Income,Revenue,2024-06,0,5675
40003,Other Income,Revenue,2024-06,0,5630
50000,Salary Expense,Expense,2024-06,4513,0
50001,Rent Expense,Expense,2024-06,3848,0
50002,Utilities Expense,Expense,2024-06,763,0
50003,Supplies Expense,Expense,2024-06,2098,0
50004,Depreciation Expense,Expense,2024-06,8094,0
50005,Marketing Expense,Expense,2024-06,1595,0
50006,Travel Expense,Expense,2024-06,3404,0
50007,Insurance Expense,Expense,2024-06,3863,0
50008,IT Expense,Expense,2024-06,5332,0
50009,Bank Charges,Expense,2024-06,1953,0
50010,Telephone Expense,Expense,2024-06,6685,0
50011,Repairs & Maintenance,Expense,2024-06,1391,0
50012,Payroll Tax Expense,Expense,2024-06,3681,0
50013,Training Expense,Expense,2024-06,7654,0
10000,Cash,Asset,2024-07,7380,0
10001,Accounts Receivable,Asset,2024-07,1736,0
10002,Inventory,Asset,2024-07,3796,0
10003,Prepaid Expenses,Asset,2024-07,798,0
10004,Fixed Assets,Asset,2024-07,4837,0
20000,Accounts Payable,Liability,2024-07,0,954
20001,Accrued Expenses,Liability,2024-07,0,8264
20002,Short-Term Debt,Liability,2024-07,0,5955
20003,Long-Term Debt,Liability,2024-07,0,7492
30000,Common Stock,Equity,2024-07,0,6628
30001,Retained Earnings,Equity,2024-07,0,34835
40000,Sales Revenue,Revenue,2024-07,0,5272
40001,Service Revenue,Revenue,2024-07,0,1807
40002,Interest Income,Revenue,2024-07,0,5891
40003,Other Income,Revenue,2024-07,0,5635
50000,Salary Expense,Expense,2024-07,5031,0
50001,Rent Expense,Expense,2024-07,3610,0
50002,Utilities Expense,Expense,2024-07,302,0
50003,Supplies Expense,Expense,2024-07,4318,0
50004,Depreciation Expense,Expense,2024-07,9058,0
50005,Marketing Expense,Expense,2024-07,4489,0
50006,Travel Expense,Expense,2024-07,2427,0
50007,Insurance Expense,Expense,2024-07,8104,0
50008,IT Expense,Expense,2024-07,3031,0
50009,Bank Charges,Expense,2024-07,7877,0
50010,Telephone Expense,Expense,2024-07,297,0
50011,Repairs & Maintenance,Expense,2024-07,7225,0
50012,Payroll Tax Expense,Expense,2024-07,2030,0
50013,Training Expense,Expense,2024-07,6387,0
10000,Cash,Asset,2024-08,8900,0
10001,Accounts Receivable,Asset,2024-08,9439,0
10002,Inventory,Asset,2024-08,4382,0
10003,Prepaid Expenses,Asset,2024-08,2611,0
10004,Fixed Assets,Asset,2024-08,759,0
20000,Accounts Payable,Liability,2024-08,0,2911
20001,Accrued Expenses,Liability,2024-08,0,7198
20002,Short-Term Debt,Liability,2024-08,0,6646
20003,Long-Term Debt,Liability,2024-08,0,9661
30000,Common Stock,Equity,2024-08,0,2086
30001,Retained Earnings,Equity,2024-08,0,48767
40000,Sales Revenue,Revenue,2024-08,0,3011
40001,Service Revenue,Revenue,2024-08,0,1834
40002,Interest Income,Revenue,2024-08,0,1943
40003,Other Income,Revenue,2024-08,0,8780
50000,Salary Expense,Expense,2024-08,3076,0
50001,Rent Expense,Expense,2024-08,2059,0
50002,Utilities Expense,Expense,2024-08,5859,0
50003,Supplies Expense,Expense,2024-08,6794,0
50004,Depreciation Expense,Expense,2024-08,2485,0
50005,Marketing Expense,Expense,2024-08,4836,0
50006,Travel Expense,Expense,2024-08,1902,0
50007,Insurance Expense,Expense,2024-08,8255,0
50008,IT Expense,Expense,2024-08,8220,0
50009,Bank Charges,Expense,2024-08,6716,0
50010,Telephone Expense,Expense,2024-08,5634,0
50011,Repairs & Maintenance,Expense,2024-08,4161,0
50012,Payroll Tax Expense,Expense,2024-08,362,0
50013,Training Expense,Expense,2024-08,6387,0
10000,Cash,Asset,2024-09,8915,0
10001,Accounts Receivable,Asset,2024-09,9308,0
10002,Inventory,Asset,2024-09,2149,0
10003,Prepaid Expenses,Asset,2024-09,5523,0
10004,Fixed Assets,Asset,2024-09,4648,0
20000,Accounts Payable,Liability,2024-09,0,3208
20001,Accrued Expenses,Liability,2024-09,0,7258
20002,Short-Term Debt,Liability,2024-09,0,7500
20003,Long-Term Debt,Liability,2024-09,0,3270
30000,Common Stock,Equity,2024-09,0,9974
30001,Retained Earnings,Equity,2024-09,0,47227
40000,Sales Revenue,Revenue,2024-09,0,1254
40001,Service Revenue,Revenue,2024-09,0,4599
40002,Interest Income,Revenue,2024-09,0,6395
40003,Other Income,Revenue,2024-09,0,6297
50000,Salary Expense,Expense,2024-09,9988,0
50001,Rent Expense,Expense,2024-09,1748,0
50002,Utilities Expense,Expense,2024-09,5639,0
50003,Supplies Expense,Expense,2024-09,9737,0
50004,Depreciation Expense,Expense,2024-09,4299,0
50005,Marketing Expense,Expense,2024-09,8545,0
50006,Travel Expense,Expense,2024-09,2657,0
50007,Insurance Expense,Expense,2024-09,5692,0
50008,IT Expense,Expense,2024-09,198,0
50009,Bank Charges,Expense,2024-09,2300,0
50010,Telephone Expense,Expense,2024-09,3061,0
50011,Repairs & Maintenance,Expense,2024-09,5073,0
50012,Payroll Tax Expense,Expense,2024-09,4533,0
50013,Training Expense,Expense,2024-09,2969,0
10000,Cash,Asset,2024-10,1056,0
10001,Accounts Receivable,Asset,2024-10,8452,0
10002,Inventory,Asset,2024-10,5799,0
10003,Prepaid Expenses,Asset,2024-10,7044,0
10004,Fixed Assets,Asset,2024-10,4593,0
20000,Accounts Payable,Liability,2024-10,0,9592
20001,Accrued Expenses,Liability,2024-10,0,5011
20002,Short-Term Debt,Liability,2024-10,0,4087
20003,Long-Term Debt,Liability,2024-10,0,9819
30000,Common Stock,Equity,2024-10,0,6115
30001,Retained Earnings,Equity,2024-10,0,39845
40000,Sales Revenue,Revenue,2024-10,0,4596
40001,Service Revenue,Revenue,2024-10,0,4835
40002,Interest Income,Revenue,2024-10,0,4655
40003,Other Income,Revenue,2024-10,0,9246
50000,Salary Expense,Expense,2024-10,8150,0
50001,Rent Expense,Expense,2024-10,3546,0
50002,Utilities Expense,Expense,2024-10,1145,0
50003,Supplies Expense,Expense,2024-10,6993,0
50004,Depreciation Expense,Expense,2024-10,1793,0
50005,Marketing Expense,Expense,2024-10,3536,0
50006,Travel Expense,Expense,2024-10,8854,0
50007,Insurance Expense,Expense,2024-10,5995,0
50008,IT Expense,Expense,2024-10,3454,0
50009,Bank Charges,Expense,2024-10,325,0
50010,Telephone Expense,Expense,2024-10,4993,0
50011,Repairs & Maintenance,Expense,2024-10,7122,0
50012,Payroll Tax Expense,Expense,2024-10,9251,0
50013,Training Expense,Expense,2024-10,5700,0
10000,Cash,Asset,2024-11,8096,0
10001,Accounts Receivable,Asset,2024-11,9107,0
10002,Inventory,Asset,2024-11,7783,0
10003,Prepaid Expenses,Asset,2024-11,4742,0
10004,Fixed Assets,Asset,2024-11,7779,0
20000,Accounts Payable,Liability,2024-11,0,8308
20001,Accrued Expenses,Liability,2024-11,0,7439
20002,Short-Term Debt,Liability,2024-11,0,9535
20003,Long-Term Debt,Liability,2024-11,0,2305
30000,Common Stock,Equity,2024-11,0,1169
30001,Retained Earnings,Equity,2024-11,0,49824
40000,Sales Revenue,Revenue,2024-11,0,1160
40001,Service Revenue,Revenue,2024-11,0,2427
40002,Interest Income,Revenue,2024-11,0,3520
40003,Other Income,Revenue,2024-11,0,401
50000,Salary Expense,Expense,2024-11,706,0
50001,Rent Expense,Expense,2024-11,3270,0
50002,Utilities Expense,Expense,2024-11,799,0
50003,Supplies Expense,Expense,2024-11,5188,0
50004,Depreciation Expense,Expense,2024-11,9431,0
50005,Marketing Expense,Expense,2024-11,290,0
50006,Travel Expense,Expense,2024-11,1080,0
50007,Insurance Expense,Expense,2024-11,3075,0
50008,IT Expense,Expense,2024-11,6202,0
50009,Bank Charges,Expense,2024-11,1284,0
50010,Telephone Expense,Expense,2024-11,3427,0
50011,Repairs & Maintenance,Expense,2024-11,3494,0
50012,Payroll Tax Expense,Expense,2024-11,8419,0
50013,Training Expense,Expense,2024-11,1916,0
10000,Cash,Asset,2024-12,5954,0
10001,Accounts Receivable,Asset,2024-12,6809,0
10002,Inventory,Asset,2024-12,669,0
10003,Prepaid Expenses,Asset,2024-12,5542,0
10004,Fixed Assets,Asset,2024-12,1995,0
20000,Accounts Payable,Liability,2024-12,0,2833
20001,Accrued Expenses,Liability,2024-12,0,3963
20002,Short-Term Debt,Liability,2024-12,0,7555
20003,Long-Term Debt,Liability,2024-12,0,4114
30000,Common Stock,Equity,2024-12,0,1786
30001,Retained Earnings,Equity,2024-12,0,68599
40000,Sales Revenue,Revenue,2024-12,0,7906
40001,Service Revenue,Revenue,2024-12,0,254
40002,Interest Income,Revenue,2024-12,0,1509
40003,Other Income,Revenue,2024-12,0,884
50000,Salary Expense,Expense,2024-12,8196,0
50001,Rent Expense,Expense,2024-12,7660,0
50002,Utilities Expense,Expense,2024-12,7443,0
50003,Supplies Expense,Expense,2024-12,7306,0
50004,Depreciation Expense,Expense,2024-12,5696,0
50005,Marketing Expense,Expense,2024-12,5901,0
50006,Travel Expense,Expense,2024-12,2906,0
50007,Insurance Expense,Expense,2024-12,637,0
50008,IT Expense,Expense,2024-12,6086,0
50009,Bank Charges,Expense,2024-12,1941,0
50010,Telephone Expense,Expense,2024-12,8816,0
50011,Repairs & Maintenance,Expense,2024-12,7071,0
50012,Payroll Tax Expense,Expense,2024-12,5725,0
50013,Training Expense,Expense,2024-12,3050,0
10000,Cash,Asset,2025-01,8092,0
10001,Accounts Receivable,Asset,2025-01,4880,0
10002,Inventory,Asset,2025-01,2468,0
10003,Prepaid Expenses,Asset,2025-01,6755,0
10004,Fixed Assets,Asset,2025-01,8273,0
20000,Accounts Payable,Liability,2025-01,0,4595
20001,Accrued Expenses,Liability,2025-01,0,9263
20002,Short-Term Debt,Liability,2025-01,0,6102
20003,Long-Term Debt,Liability,2025-01,0,6714
30000,Common Stock,Equity,2025-01,0,9458
30001,Retained Earnings,Equity,2025-01,0,45799
40000,Sales Revenue,Revenue,2025-01,0,953
40001,Service Revenue,Revenue,2025-01,0,4246
40002,Interest Income,Revenue,2025-01,0,3869
40003,Other Income,Revenue,2025-01,0,674
50000,Salary Expense,Expense,2025-01,1248,0
50001,Rent Expense,Expense,2025-01,6393,0
50002,Utilities Expense,Expense,2025-01,6557,0
50003,Supplies Expense,Expense,2025-01,7609,0
50004,Depreciation Expense,Expense,2025-01,4877,0
50005,Marketing Expense,Expense,2025-01,3954,0
50006,Travel Expense,Expense,2025-01,2591,0
50007,Insurance Expense,Expense,2025-01,3224,0
50008,IT Expense,Expense,2025-01,5791,0
50009,Bank Charges,Expense,2025-01,3151,0
50010,Telephone Expense,Expense,2025-01,104,0
50011,Repairs & Maintenance,Expense,2025-01,5322,0
50012,Payroll Tax Expense,Expense,2025-01,5415,0
50013,Training Expense,Expense,2025-01,4969,0
10000,Cash,Asset,2025-02,976,0
10001,Accounts Receivable,Asset,2025-02,9283,0
10002,Inventory,Asset,2025-02,7127,0
10003,Prepaid Expenses,Asset,2025-02,4242,0
10004,Fixed Assets,Asset,2025-02,7066,0
20000,Accounts Payable,Liability,2025-02,0,7179
20001,Accrued Expenses,Liability,2025-02,0,8087
20002,Short-Term Debt,Liability,2025-02,0,6899
20003,Long-Term Debt,Liability,2025-02,0,4565
30000,Common Stock,Equity,2025-02,0,735
30001,Retained Earnings,Equity,2025-02,0,50134
40000,Sales Revenue,Revenue,2025-02,0,9974
40001,Service Revenue,Revenue,2025-02,0,4852
40002,Interest Income,Revenue,2025-02,0,8411
40003,Other Income,Revenue,2025-02,0,930
50000,Salary Expense,Expense,2025-02,5277,0
50001,Rent Expense,Expense,2025-02,9661,0
50002,Utilities Expense,Expense,2025-02,9032,0
50003,Supplies Expense,Expense,2025-02,8408,0
50004,Depreciation Expense,Expense,2025-02,6049,0
50005,Marketing Expense,Expense,2025-02,2938,0
50006,Travel Expense,Expense,2025-02,1250,0
50007,Insurance Expense,Expense,2025-02,7660,0
50008,IT Expense,Expense,2025-02,2031,0
50009,Bank Charges,Expense,2025-02,9304,0
50010,Telephone Expense,Expense,2025-02,1764,0
50011,Repairs & Maintenance,Expense,2025-02,1181,0
50012,Payroll Tax Expense,Expense,2025-02,612,0
50013,Training Expense,Expense,2025-02,7905,0
10000,Cash,Asset,2025-03,5337,0
10001,Accounts Receivable,Asset,2025-03,659,0
10002,Inventory,Asset,2025-03,3772,0
10003,Prepaid Expenses,Asset,2025-03,7504,0
10004,Fixed Assets,Asset,2025-03,3443,0
20000,Accounts Payable,Liability,2025-03,0,4170
20001,Accrued Expenses,Liability,2025-03,0,9762
20002,Short-Term Debt,Liability,2025-03,0,680
20003,Long-Term Debt,Liability,2025-03,0,7104
30000,Common Stock,Equity,2025-03,0,8230
30001,Retained Earnings,Equity,2025-03,0,54655
40000,Sales Revenue,Revenue,2025-03,0,4349
40001,Service Revenue,Revenue,2025-03,0,1779
40002,Interest Income,Revenue,2025-03,0,3606
40003,Other Income,Revenue,2025-03,0,7353
50000,Salary Expense,Expense,2025-03,2844,0
50001,Rent Expense,Expense,2025-03,9535,0
50002,Utilities Expense,Expense,2025-03,5288,0
50003,Supplies Expense,Expense,2025-03,2241,0
50004,Depreciation Expense,Expense,2025-03,6717,0
50005,Marketing Expense,Expense,2025-03,2579,0
50006,Travel Expense,Expense,2025-03,6584,0
50007,Insurance Expense,Expense,2025-03,9927,0
50008,IT Expense,Expense,2025-03,7521,0
50009,Bank Charges,Expense,2025-03,4552,0
50010,Telephone Expense,Expense,2025-03,5981,0
50011,Repairs & Maintenance,Expense,2025-03,6765,0
50012,Payroll Tax Expense,Expense,2025-03,2949,0
50013,Training Expense,Expense,2025-03,7490,0
10000,Cash,Asset,2025-04,7005,0
10001,Accounts Receivable,Asset,2025-04,2589,0
10002,Inventory,Asset,2025-04,9923,0
10003,Prepaid Expenses,Asset,2025-04,9307,0
10004,Fixed Assets,Asset,2025-04,9640,0
20000,Accounts Payable,Liability,2025-04,0,4711
20001,Accrued Expenses,Liability,2025-04,0,2939
20002,Short-Term Debt,Liability,2025-04,0,8627
20003,Long-Term Debt,Liability,2025-04,0,5978
30000,Common Stock,Equity,2025-04,0,9187
30001,Retained Earnings,Equity,2025-04,0,69346
40000,Sales Revenue,Revenue,2025-04,0,951
40001,Service Revenue,Revenue,2025-04,0,1787
40002,Interest Income,Revenue,2025-04,0,6933
40003,Other Income,Revenue,2025-04,0,2527
50000,Salary Expense,Expense,2025-04,9860,0
50001,Rent Expense,Expense,2025-04,4100,0
50002,Utilities Expense,Expense,2025-04,5152,0
50003,Supplies Expense,Expense,2025-04,2838,0
50004,Depreciation Expense,Expense,2025-04,5832,0
50005,Marketing Expense,Expense,2025-04,5487,0
50006,Travel Expense,Expense,2025-04,8102,0
50007,Insurance Expense,Expense,2025-04,5636,0
50008,IT Expense,Expense,2025-04,4013,0
50009,Bank Charges,Expense,2025-04,1166,0
50010,Telephone Expense,Expense,2025-04,7823,0
50011,Repairs & Maintenance,Expense,2025-04,4480,0
50012,Payroll Tax Expense,Expense,2025-04,4207,0
50013,Training Expense,Expense,2025-04,5826,0
10000,Cash,Asset,2025-05,3473,0
10001,Accounts Receivable,Asset,2025-05,9045,0
10002,Inventory,Asset,2025-05,2182,0
10003,Prepaid Expenses,Asset,2025-05,9067,0
10004,Fixed Assets,Asset,2025-05,6848,0
20000,Accounts Payable,Liability,2025-05,0,9917
20001,Accrued Expenses,Liability,2025-05,0,517
20002,Short-Term Debt,Liability,2025-05,0,8406
20003,Long-Term Debt,Liability,2025-05,0,8908
30000,Common Stock,Equity,2025-05,0,4074
30001,Retained Earnings,Equity,2025-05,0,34238
40000,Sales Revenue,Revenue,2025-05,0,925
40001,Service Revenue,Revenue,2025-05,0,7768
40002,Interest Income,Revenue,2025-05,0,5845
40003,Other Income,Revenue,2025-05,0,9808
50000,Salary Expense,Expense,2025-05,512,0
50001,Rent Expense,Expense,2025-05,7643,0
50002,Utilities Expense,Expense,2025-05,7687,0
50003,Supplies Expense,Expense,2025-05,828,0
50004,Depreciation Expense,Expense,2025-05,7264,0
50005,Marketing Expense,Expense,2025-05,8967,0
50006,Travel Expense,Expense,2025-05,6088,0
50007,Insurance Expense,Expense,2025-05,2604,0
50008,IT Expense,Expense,2025-05,3067,0
50009,Bank Charges,Expense,2025-05,2886,0
50010,Telephone Expense,Expense,2025-05,1222,0
50011,Repairs & Maintenance,Expense,2025-05,4179,0
50012,Payroll Tax Expense,Expense,2025-05,1671,0
50013,Training Expense,Expense,2025-05,5173,0
10000,Cash,Asset,2025-06,5204,0
10001,Accounts Receivable,Asset,2025-06,2243,0
10002,Inventory,Asset,2025-06,9979,0
10003,Prepaid Expenses,Asset,2025-06,6906,0
10004,Fixed Assets,Asset,2025-06,7457,0
20000,Accounts Payable,Liability,2025-06,0,3540
20001,Accrued Expenses,Liability,2025-06,0,3866
20002,Short-Term Debt,Liability,2025-06,0,5744
20003,Long-Term Debt,Liability,2025-06,0,3014
30000,Common Stock,Equity,2025-06,0,5068
30001,Retained Earnings,Equity,2025-06,0,58225
40000,Sales Revenue,Revenue,2025-06,0,8887
40001,Service Revenue,Revenue,2025-06,0,828
40002,Interest Income,Revenue,2025-06,0,1465
40003,Other Income,Revenue,2025-06,0,4592
50000,Salary Expense,Expense,2025-06,798,0
50001,Rent Expense,Expense,2025-06,7286,0
50002,Utilities Expense,Expense,2025-06,495,0
50003,Supplies Expense,Expense,2025-06,7500,0
50004,Depreciation Expense,Expense,2025-06,8182,0
50005,Marketing Expense,Expense,2025-06,4271,0
50006,Travel Expense,Expense,2025-06,4460,0
50007,Insurance Expense,Expense,2025-06,2602,0
50008,IT Expense,Expense,2025-06,817,0
50009,Bank Charges,Expense,2025-06,2882,0
50010,Telephone Expense,Expense,2025-06,5046,0
50011,Repairs & Maintenance,Expense,2025-06,5586,0
50012,Payroll Tax Expense,Expense,2025-06,8435,0
50013,Training Expense,Expense,2025-06,5080,0
10000,Cash,Asset,2025-07,7366,0
10001,Accounts Receivable,Asset,2025-07,4591,0
10002,Inventory,Asset,2025-07,7292,0
10003,Prepaid Expenses,Asset,2025-07,5688,0
10004,Fixed Assets,Asset,2025-07,7751,0
20000,Accounts Payable,Liability,2025-07,0,3736
20001,Accrued Expenses,Liability,2025-07,0,1267
20002,Short-Term Debt,Liability,2025-07,0,1162
20003,Long-Term Debt,Liability,2025-07,0,2256
30000,Common Stock,Equity,2025-07,0,7960
30001,Retained Earnings,Equity,2025-07,0,68314
40000,Sales Revenue,Revenue,2025-07,0,5405
40001,Service Revenue,Revenue,2025-07,0,6641
40002,Interest Income,Revenue,2025-07,0,4829
40003,Other Income,Revenue,2025-07,0,9448
50000,Salary Expense,Expense,2025-07,7430,0
50001,Rent Expense,Expense,2025-07,5434,0
50002,Utilities Expense,Expense,2025-07,9024,0
50003,Supplies Expense,Expense,2025-07,4430,0
50004,Depreciation Expense,Expense,2025-07,8110,0
50005,Marketing Expense,Expense,2025-07,6901,0
50006,Travel Expense,Expense,2025-07,4946,0
50007,Insurance Expense,Expense,2025-07,6831,0
50008,IT Expense,Expense,2025-07,7341,0
50009,Bank Charges,Expense,2025-07,1053,0
50010,Telephone Expense,Expense,2025-07,2639,0
50011,Repairs & Maintenance,Expense,2025-07,7156,0
50012,Payroll Tax Expense,Expense,2025-07,1642,0
50013,Training Expense,Expense,2025-07,5393,0
10000,Cash,Asset,2025-08,1291,0
10001,Accounts Receivable,Asset,2025-08,6413,0
10002,Inventory,Asset,2025-08,7038,0
10003,Prepaid Expenses,Asset,2025-08,2781,0
10004,Fixed Assets,Asset,2025-08,9509,0
20000,Accounts Payable,Liability,2025-08,0,1640
20001,Accrued Expenses,Liability,2025-08,0,6272
20002,Short-Term Debt,Liability,2025-08,0,5641
20003,Long-Term Debt,Liability,2025-08,0,9680
30000,Common Stock,Equity,2025-08,0,1465
30001,Retained Earnings,Equity,2025-08,0,42377
40000,Sales Revenue,Revenue,2025-08,0,9972
40001,Service Revenue,Revenue,2025-08,0,8802
